tabla,atributo,tipo_dato,descripcion,nulos,no_nulos,valores_distintos,ejemplo_valor,comparable_2022_2024
resumen_matricula_2025,MAT_MUJ_8,int64,Metrica de matricula en subcategoria especifica del dataset.,0,16768,48,94,1
resumen_matricula_2025,MAT_MUJ_INT,int64,Metrica de matricula en subcategoria especifica del dataset.,0,16768,168,21,0
resumen_matricula_2025,MAT_MUJ_TOT,int64,Metrica de matricula en subcategoria especifica del dataset.,0,16768,894,408,1
resumen_matricula_2025,MAT_NAC,int64,Metrica de matricula en subcategoria especifica del dataset.,0,16768,4,2,0
resumen_matricula_2025,MAT_NO_ETNIA,int64,Metrica de matricula en subcategoria especifica del dataset.,0,16768,1361,779,0
resumen_matricula_2025,MAT_SI_1,int64,Metrica de matricula en subcategoria especifica del dataset.,0,16768,2,0,1
resumen_matricula_2025,MAT_SI_2,int64,Metrica de matricula en subcategoria especifica del dataset.,0,16768,2,0,1
resumen_matricula_2025,MAT_SI_4,int64,Metrica de matricula en subcategoria especifica del dataset.,0,16768,2,0,1
resumen_matricula_2025,MAT_SI_5,int64,Metrica de matricula en subcategoria especifica del dataset.,0,16768,2,0,1
resumen_matricula_2025,MAT_SI_6,int64,Metrica de matricula en subcategoria especifica del dataset.,0,16768,1,0,0
resumen_matricula_2025,MAT_SI_INT,int64,Metrica de matricula en subcategoria especifica del dataset.,0,16768,2,0,0
resumen_matricula_2025,MAT_SI_TOT,int64,Metrica de matricula en subcategoria especifica del dataset.,0,16768,2,0,1
resumen_matricula_2025,MAT_TOTAL,int64,Matricula total de estudiantes del establecimiento.,0,16768,1479,1086,1
resumen_matricula_2025,NOMBRE_SLEP,str,Nombre del SLEP asociado (si aplica).,10281,6487,26,CHINCHORRO,0
resumen_matricula_2025,NOM_COM_RBD,string,Nombre de comuna del establecimiento.,0,16768,346,ARICA,1
resumen_matricula_2025,NOM_DEPROV_RBD,string,Nombre del departamento provincial de educacion.,0,16768,42,ARICA,1
resumen_matricula_2025,NOM_RBD,string,Nombre del establecimiento educacional.,0,16768,15392,LICEO POLITECNICO ARICA,1
resumen_matricula_2025,NOM_REG_RBD_A,string,Nombre/abreviatura de region del establecimiento.,0,16768,16,AYP,1
resumen_matricula_2025,RBD,int64,Rol Base de Datos del establecimiento educacional.,0,16768,16768,1,1
resumen_matricula_2025,RURAL_RBD,string,Indicador de ruralidad del establecimiento.,0,16768,2,0,1
resumen_matricula_2025,SLEP,float64,Codigo SLEP asociado al establecimiento (si aplica).,10281,6487,26,5.0,0
